,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Continent,day
94,Honduras,471557,0,11109,0.0,0,0,0,105,46135,1087,1626616,159141,10221247,North America,2023-02-22
95,Armenia,446819,487,8721,2.0,435162,0,2936,0,150345,2934,3242901,1091164,2971966,Asia,2023-02-22
96,Bosnia and Herzegovina,401575,48,16278,11.0,379084,0,6213,0,123588,5010,1884721,580036,3249317,Europe,2023-02-22
97,Oman,399449,0,4628,0.0,384669,0,10152,2,75028,869,25000000,4695724,5323993,Asia,2023-02-22
98,North Macedonia,346733,0,9653,0.0,336974,0,106,0,166594,4638,2223705,1068419,2081304,Europe,2023-02-22
99,Kenya,342900,26,5688,0.0,337183,37,29,1,6100,101,3967062,70569,56215221,Africa,2023-02-22
100,Zambia,342831,49,4055,0.0,338289,23,487,0,17608,208,3923997,201538,19470234,Africa,2023-02-22
101,Albania,334336,0,3596,0.0,329079,0,1661,0,116641,1255,1941032,677173,2866374,Europe,2023-02-22
102,Botswana,329662,0,2801,0.0,326868,0,-7,1,135043,1147,2026898,830300,2441162,Africa,2023-02-22
103,Luxembourg,297757,0,1133,0.0,288991,0,7633,0,463528,1764,4412567,6869188,642371,Europe,2023-02-22
104,Montenegro,287772,104,2800,0.0,284206,89,766,6,458272,4459,2712064,4318917,627950,Europe,2023-02-22
105,Brunei,277992,0,225,0.0,243601,0,34166,0,624097,505,717784,1611437,445431,Asia,2023-02-22
106,Algeria,271431,3,6881,0.0,182788,0,81762,0,5985,152,230861,5091,45350148,Africa,2023-02-22
107,Nigeria,266463,0,3155,0.0,259850,0,3458,11,1229,15,5708974,26339,216746934,Africa,2023-02-22
108,Zimbabwe,263921,279,5663,1.0,257205,512,1053,12,17214,369,2525756,164744,15331428,Africa,2023-02-22
109,Uzbekistan,250932,59,1637,0.0,241486,0,7809,23,7298,48,1377915,40077,34382084,Asia,2023-02-22
110,Mozambique,233098,0,2242,0.0,228805,0,2051,11,7044,68,1371127,41437,33089461,Africa,2023-02-22
111,Martinique,229807,0,1098,0.0,0,0,0,12,614314,2935,828928,2215870,374087,North America,2023-02-22
112,Laos,218012,0,758,0.0,0,0,0,0,29142,101,1233207,164845,7481023,Asia,2023-02-22
113,Afghanistan,209195,14,7896,0.0,190544,254,10755,45,5133,194,1197450,29382,40754388,Asia,2023-02-22
114,Iceland,208999,0,229,0.0,0,0,0,2,605105,663,1996384,5780036,345393,Europe,2023-02-22
115,Kyrgyzstan,206633,22,2991,0.0,196406,0,7236,131,30711,445,1907195,283460,6728271,Asia,2023-02-22
116,Guadeloupe,201852,148,1010,0.0,0,0,0,19,504890,2526,938039,2346306,399794,North America,2023-02-22
117,El Salvador,201785,0,4230,0.0,179410,0,18145,8,30805,646,2610114,398467,6550389,North America,2023-02-22
118,Trinidad and Tobago,188737,0,4339,0.0,184363,0,35,8,134181,3085,895520,636663,1406585,North America,2023-02-22
119,Maldives,185729,0,311,0.0,163687,0,21731,25,343316,575,2213831,4092223,540985,Asia,2023-02-22
120,Ghana,171167,7,1462,0.0,169696,7,9,2,5284,45,2529887,78094,32395450,Africa,2023-02-22
121,Namibia,171121,62,4090,0.0,166689,97,342,0,64969,1553,1062663,403460,2633874,Africa,2023-02-22
122,Uganda,170478,0,3630,0.0,100431,0,66417,3,3520,75,3012408,62198,48432863,Africa,2023-02-22
123,Jamaica,154065,0,3500,0.0,102393,0,48172,0,51611,1172,1183986,396633,2985094,North America,2023-02-22
124,Cambodia,138713,1,3056,0.0,135648,0,9,0,8079,178,3091420,180062,17168639,Asia,2023-02-22
125,Rwanda,133170,0,1468,0.0,131634,0,68,0,9792,108,5959042,438150,13600464,Africa,2023-02-22
126,Cameroon,124328,0,1965,0.0,122333,0,30,13,4454,70,1751774,62762,27911548,Africa,2023-02-22
127,Malta,117338,0,827,0.0,115923,0,588,4,264255,1862,2111209,4754622,444033,Europe,2023-02-22
128,Barbados,106645,0,575,0.0,106057,0,13,0,370266,1996,794426,2758203,288023,North America,2023-02-22
129,Angola,105205,21,1931,0.0,103250,34,24,0,3004,55,1499795,42818,35027343,Africa,2023-02-22
130,Channel Islands,101320,0,227,0.0,100975,0,118,0,574171,1286,1252808,7099551,176463,Europe,2023-02-22
131,French Guiana,98041,0,420,0.0,11254,0,86367,6,312065,1337,651257,2072951,314169,South America,2023-02-22
132,DRC,95646,0,1464,0.0,84282,0,9900,0,1004,15,846704,8890,95240792,Africa,2023-02-22
133,Senegal,88917,7,1971,0.0,86938,0,8,0,5037,112,1146543,64946,17653671,Africa,2023-02-22
134,Malawi,88681,41,2686,0.0,85542,87,453,67,4394,133,624784,30959,20180839,Africa,2023-02-22
135,Ivory Coast,88138,24,834,0.0,87262,22,42,0,3177,30,1677538,60469,27742298,Africa,2023-02-22
136,Suriname,82227,0,1400,0.0,0,0,0,0,137773,2346,240907,403644,596831,South America,2023-02-22
137,New Caledonia,79871,0,314,0.0,79557,0,0,9,274551,1079,98964,340182,290915,Australia/Oceania,2023-02-22
138,French Polynesia,77957,0,649,0.0,0,0,0,7,274338,2284,0,0,284164,Australia/Oceania,2023-02-22
139,Eswatini,74199,0,1423,0.0,72726,0,50,0,62625,1201,1048704,885119,1184817,Africa,2023-02-22
140,Guyana,73062,0,1298,0.0,71742,0,22,0,92012,1635,720953,907950,794045,South America,2023-02-22
141,Belize,70740,0,688,0.0,70036,0,16,6,171620,1669,576016,1397453,412190,North America,2023-02-22
142,Fiji,68876,0,883,0.0,66831,0,1162,0,75732,971,668445,734986,909466,Australia/Oceania,2023-02-22
143,Madagascar,67852,0,1421,0.0,66427,0,4,0,2325,49,525141,17998,29178077,Africa,2023-02-22
144,Sudan,63787,12,5011,0.0,58438,0,338,0,1387,109,562941,12240,45992020,Africa,2023-02-22
145,Mauritania,63667,0,997,0.0,62439,0,231,0,12988,203,1009957,206030,4901981,Africa,2023-02-22
146,Cabo Verde,63240,1,413,0.0,62768,1,59,23,111401,728,401622,707482,567678,Africa,2023-02-22
147,Bhutan,62615,4,21,0.0,61564,0,1030,0,79467,27,2303734,2923739,787941,Asia,2023-02-22
